name,website,place_id,city,state
"Concrete Floor Systems","http://www.concretepolished.com/?utm_source=GMB&utm_medium=Website&utm_campaign=CFS","ChIJM286f-p_bIcRs2xNDgBv940","Denver","CO"
"Troyer Concrete Coatings","https://www.troyerconcretecoatings.com/","ChIJp6l-YhLBomARrcFbXc26y2Y","Denver","CO"
"Colorado Diamond Contracting","https://coloradodiamondcontracting.com/","ChIJR61sBwwaiCkRx5IZcspdpIA","Denver","CO"
"Word of Mouth Epoxy & Metallic Flooring","https://wordofmouthepoxy.com/","ChIJAxTpRArdJIgRyksaUYw8VIc","Detroit","MI"
"Diamond Coatings Epoxy floors","http://michiganepoxy.com/","ChIJKWN8qBHhJIgRug8FiY3sIzM","Detroit","MI"
"Mi Floor Coatings","https://www.mifloorcoatings.com/","ChIJkRrrQNt2NYsRNaH0qVvOQWA","Detroit","MI"
"NSI Epoxy","http://www.nsipaintingepoxy.com/","ChIJH8W28Re9JIgR_I2IIYP1LHI","Detroit","MI"
"ProTech Concrete Coatings","https://www.protechconcretecoatings.com/","ChIJ0YAToUjmJIgRWMbVZytQZOc","Detroit","MI"
"PolyPro Concrete Coatings - Detroit","https://www.polyprofloors.com/","ChIJ03712fRJO4gR2JNsYhVeu1A","Detroit","MI"
"Cutting Edge Concrete Coatings LLC","https://cuttingedgecoats.com/","ChIJo248n7RcfwQRNuGkZYpWP5o","Detroit","MI"
"Onyx Floor Coatings","https://www.onyxfloorcoatings.com/","ChIJGdNaO2ezJIgRzrzUxiccVMs","Detroit","MI"
"Garage Floor Shield Northwest","http://www.garagefloorshieldnw.com/","ChIJsT40736pmlQRcTiY6oyRToI","Seattle","WA"
"Northwest Concrete Resurfacing","http://www.nwconcreteresurfacing.com/","ChIJdUL57dJBkFQRvMK7LaSeNyg","Seattle","WA"
"5 Star Floor Coatings","https://5starfloorcoatings.com/","ChIJOde7BzBVhVQRS1p3Kt94pmM","Seattle","WA"
"Garage Living","https://www.garageliving.com/seattle/?utm_source=google&utm_medium=organic&utm_campaign=gbp","ChIJVbgMx_EPkFQRffJhRfH-36U","Seattle","WA"
"CAP Concrete Coatings","https://capconcretecoatings.com/locations/concrete-floor-coatings-olympia-tacoma/?utm_source=gbp","ChIJEdWjWk4LkVQR0uhtW8J2rQ4","Seattle","WA"
"Graypaw Concrete Contractors","https://graypawconcretecontractors.com/","ChIJ82prkcdVhVQRvUWaCL5-XX8","Seattle","WA"
"Concrete Restoration, Inc","http://concreterestorationinc.com/","ChIJb7n5xUtAkFQRmLlRee7Mn70","Seattle","WA"
"GP Concrete Contractors","https://gpconcretecontractorsseattle.com/","ChIJRfDV2Z1rkFQRkzOxUUqHIBo","Seattle","WA"
"Norco Epoxy Concrete Coating","http://norcocoatings.com/","ChIJh5eBmIfJ3IAR4YKzhirHo_w","Riverside","CA"
"Epoxy-Rite","https://epoxy-rite.ca/","ChIJH1JDnF0rO4gRc1siWlPnWOQ","Riverside","CA"
"Garage Innovations","https://www.garageinnovations.net/","ChIJ_WrRqjGx3IAR-sOwBrPL_f8","Riverside","CA"
"The Coating Crew","http://www.coatingcrew.com/","ChIJjStiQ4rH94cRlQRouNqrKts","Minneapolis","MN"
"Garage Floors Unlimited LLC","http://gfunlimited.com/","ChIJ__-vKHcW9ocRwTRNhp9Fhbg","Minneapolis","MN"
"Midwest Flooring LLC","https://www.midwestflooringmn.com/","ChIJjyQkCrVIi6ARql4COOJs4gU","Minneapolis","MN"
"Sota Coating, LLC","https://sotacoatingllc.com/","ChIJA6s8LwAzs1IRI5c4jLFijww","Minneapolis","MN"
"Garage Floor Outfitters of Minnesota","https://garageflooroutfitters.com/","ChIJjd_3-Rw99ocRsJFU7Vzd6oA","Minneapolis","MN"
"South Metro Garage Coatings","https://www.southmetrogaragecoating.com/","ChIJcb74yAct9ocRiYkFmzso6nQ","Minneapolis","MN"
"Garage Force of NYA","https://nya.garageforce.com/","ChIJRYgp0Bvt9YcRuN6EWyNQUeg","Minneapolis","MN"
"Superior Garage Floor","https://superiorgaragefloor.com/","ChIJCb5STKnl94cRzQcj867Jt9c","Minneapolis","MN"
"Endless Poxybilities","https://endlesspoxybilities.com/","ChIJkxvMp4pps1IRZ6Bz15lAujo","Minneapolis","MN"
"Concrete Science LLC","https://www.concrete-science.com/","ChIJTUQkF2NPs1IRrsz7JWSE4bc","Minneapolis","MN"
"Xtreme Coatings","https://xtremecoatingsmn.com/","ChIJmdQ_InwlwWURDH2Mgaanlhg","Minneapolis","MN"
"Legacy Concrete Coatings","https://www.legacyconcretecoating.com/","ChIJRW6YGCJf94cR7zOI2x5Ser4","Minneapolis","MN"
